ride_pk,ride_id,customer_id,driver_id,booking_status,date,time,pickup_location,drop_location,ride_distance,booking_value,payment_method,customer_rating,avg_vtat_tratado,avg_ctat_tratado
87,""CNR8509610"",""CID8227993"",21,Completed,2024-12-11,00:00:17,"IIT Delhi","Mansarovar Park",13.38,72.00,Cash,4,5.00,35.00
88,""CNR6851549"",""CID9560489"",2,Incomplete,2024-06-19,00:00:16,"Satguru Ram Singh Marg","Punjabi Bagh",11.81,282.00,UPI,0,8.90,15.60
89,""CNR3318044"",""CID4051792"",15,"No Driver Found",2024-06-20,00:00:18,"Adarsh Nagar","Gwal Pahari",0.00,0.00,"Não informado",0,8.49,29.14
90,""CNR3126177"",""CID1851430"",4,Completed,2024-07-10,00:00:02,Munirka,Saidulajab,30.90,696.00,UPI,4,10.90,43.60
91,""CNR6453539"",""CID6999817"",1,Incomplete,2024-02-06,00:00:21,"New Colony",Jasola,14.91,936.00,"Uber Wallet",0,5.70,18.00
92,""CNR7449144"",""CID8609350"",6,Completed,2024-09-30,00:00:12,"IGNOU Road","Tis Hazari",44.25,2169.00,"Uber Wallet",4,8.60,32.70
93,""CNR1970319"",""CID6085619"",20,Completed,2024-09-20,00:00:13,Meerut,"Udyog Bhawan",45.46,136.00,"Uber Wallet",4,9.50,24.60
94,""CNR4415815"",""CID8351180"",7,Completed,2024-04-30,00:00:20,"Punjabi Bagh","Saket A Block",2.91,214.00,UPI,5,4.60,38.90
95,""CNR3899082"",""CID5467225"",7,Completed,2024-06-04,00:00:20,Akshardham,"Mayur Vihar",37.57,835.00,UPI,5,10.30,16.40
96,""CNR3274519"",""CID3829804"",1,"Cancelled by Driver",2024-10-30,00:00:16,Chhatarpur,"Gurgaon Sector 29",0.00,0.00,"Não informado",0,6.00,29.14
97,""CNR3263958"",""CID3231090"",10,Completed,2024-08-11,00:00:18,"IMT Manesar",Ashram,40.18,705.00,UPI,5,2.60,36.20
98,""CNR5822542"",""CID1628370"",18,"No Driver Found",2024-05-21,00:00:17,Madipur,"DLF City Court",0.00,0.00,"Não informado",0,8.49,29.14
99,""CNR9652983"",""CID4773175"",10,Completed,2024-10-08,00:00:08,Azadpur,"Khan Market",20.22,480.00,"Debit Card",5,2.10,35.50
100,""CNR2598306"",""CID5704025"",12,"Cancelled by Customer",2024-03-26,00:00:18,Chhatarpur,Badshahpur,0.00,0.00,"Não informado",0,14.40,29.14
101,""CNR3274827"",""CID3134967"",9,Completed,2024-06-24,00:00:18,"Cyber Hub","Old Gurgaon",44.76,707.00,UPI,4,7.50,41.70
102,""CNR9139265"",""CID4003339"",13,"Cancelled by Driver",2024-03-28,00:00:19,Jhilmil,"DLF Phase 3",0.00,0.00,"Não informado",0,9.90,29.14
103,""CNR8036415"",""CID9244184"",20,Completed,2024-09-27,00:00:20,Sikanderpur,"Greater Noida",43.34,865.00,Cash,4,10.00,38.00
104,""CNR8433849"",""CID7659765"",5,Completed,2024-04-26,00:00:15,"Mayur Vihar","IGNOU Road",5.97,768.00,Cash,5,10.80,40.00
105,""CNR2948784"",""CID7747807"",5,Completed,2024-05-19,00:00:18,"Rohini West","Yamuna Bank",27.96,626.00,"Uber Wallet",4,7.00,37.00
106,""CNR1996806"",""CID2293483"",7,Completed,2024-06-05,00:00:11,"Mandi House",Bahadurgarh,21.19,443.00,UPI,5,9.20,40.40
107,""CNR6241612"",""CID5715130"",8,"Cancelled by Customer",2024-01-07,00:00:16,Azadpur,"Hauz Rani",0.00,0.00,"Não informado",0,7.90,29.14
108,""CNR5222120"",""CID2370613"",10,Completed,2024-04-19,00:00:14,"Aya Nagar","Chandni Chowk",47.63,226.00,UPI,4,9.90,28.70
109,""CNR6596872"",""CID2589193"",14,Completed,2024-03-31,00:00:16,"Shastri Nagar","Saket A Block",24.40,449.00,UPI,4,12.80,30.60
110,""CNR7149058"",""CID7341591"",7,Completed,2024-03-26,00:00:19,Vinobapuri,"Shastri Park",7.49,778.00,UPI,5,5.90,21.10
111,""CNR5726463"",""CID3407189"",5,Completed,2024-06-10,00:00:15,"Rohini West","Yamuna Bank",24.44,361.00,UPI,5,14.70,18.80
112,""CNR3975551"",""CID2944423"",6,Completed,2024-08-16,00:00:17,"Kashmere Gate ISBT","New Colony",9.20,235.00,UPI,4,3.50,30.40
113,""CNR8637930"",""CID8137475"",10,Completed,2024-02-04,00:00:15,Rohini,"Botanical Garden",28.09,186.00,Cash,4,8.60,15.90
114,""CNR9935095"",""CID7359331"",18,Incomplete,2024-06-24,00:00:18,"Kherki Daula Toll",Nawada,3.37,544.00,Cash,0,3.20,21.90
115,""CNR8893726"",""CID8335294"",13,"No Driver Found",2024-03-23,00:00:11,"IFFCO Chowk","Dilshad Garden",0.00,0.00,"Não informado",0,8.49,29.14
116,""CNR3975051"",""CID5797043"",15,"Cancelled by Customer",2024-07-21,00:00:10,"Hauz Rani",Kaushambi,0.00,0.00,"Não informado",0,13.10,29.14
117,""CNR1984811"",""CID6701334"",8,"Cancelled by Customer",2024-09-22,00:00:06,"Dilshad Garden","Qutub Minar",0.00,0.00,"Não informado",0,8.10,29.14
118,""CNR7036055"",""CID7359512"",5,Completed,2024-05-26,00:00:22,"Faridabad Sector 15",Vinobapuri,40.10,86.00,Cash,4,7.70,25.00
119,""CNR3449107"",""CID8684841"",8,"Cancelled by Driver",2024-03-30,00:00:13,"Sarai Kale Khan","Central Secretariat",0.00,0.00,"Não informado",0,8.10,29.14
120,""CNR6919653"",""CID5736754"",15,"No Driver Found",2024-09-19,00:00:08,Vishwavidyalaya,"MG Road",0.00,0.00,"Não informado",0,8.49,29.14
121,""CNR8504461"",""CID3984123"",16,Completed,2024-12-26,00:00:16,"Malviya Nagar",Chanakyapuri,42.50,234.00,Cash,5,8.30,43.70
122,""CNR3712671"",""CID5160108"",1,"Cancelled by Driver",2024-06-28,00:00:10,"Mayur Vihar","Vidhan Sabha",0.00,0.00,"Não informado",0,11.90,29.14
123,""CNR8819329"",""CID6695773"",22,Completed,2024-11-30,00:00:18,Vaishali,"Tilak Nagar",41.42,758.00,Cash,4,6.00,44.40
124,""CNR3734278"",""CID6462328"",8,Incomplete,2024-11-04,00:00:13,"Kashmere Gate ISBT","Laxmi Nagar",17.52,629.00,UPI,0,7.90,16.70
125,""CNR2472864"",""CID7156852"",6,Completed,2024-04-16,00:00:19,"Maidan Garhi","Panchsheel Park",31.69,273.00,UPI,5,12.50,26.30
126,""CNR3239651"",""CID9573465"",3,Completed,2024-09-12,00:00:05,"Yamuna Bank","Nirman Vihar",33.74,117.00,"Debit Card",4,11.10,19.60
127,""CNR2646387"",""CID8652330"",10,Completed,2024-06-07,00:00:18,"Khan Market","Central Secretariat",36.82,955.00,UPI,4,13.30,15.80
128,""CNR4724814"",""CID1251463"",10,Completed,2024-06-01,00:00:15,"Pragati Maidan","Jama Masjid",38.75,139.00,UPI,4,9.70,31.50
129,""CNR2200152"",""CID6635464"",7,Completed,2024-05-05,00:00:14,"Mansarovar Park",Rohini,17.07,255.00,Cash,4,13.30,30.70
130,""CNR5060137"",""CID2961093"",6,Completed,2024-01-15,00:00:17,Rithala,"Aya Nagar",19.18,1212.00,UPI,4,9.50,18.00
131,""CNR9291876"",""CID9026677"",22,Completed,2024-07-08,00:00:17,"Shastri Park",Indraprastha,23.93,81.00,"Debit Card",4,10.00,23.60
132,""CNR4212658"",""CID5774800"",6,Completed,2024-08-14,00:00:17,"Cyber Hub","Udyog Bhawan",29.09,940.00,UPI,5,3.60,24.20
133,""CNR7677229"",""CID8986725"",8,"Cancelled by Driver",2024-07-31,00:00:17,Jhilmil,"Vidhan Sabha",0.00,0.00,"Não informado",0,8.50,29.14
134,""CNR4415643"",""CID4718297"",17,Completed,2024-05-08,00:00:16,Saidulajab,"Hauz Khas",27.55,98.00,Cash,4,10.00,17.90
135,""CNR4092218"",""CID5726360"",16,Completed,2024-07-29,00:00:12,Tughlakabad,Meerut,14.00,724.00,Cash,4,5.90,15.50
136,""CNR8034979"",""CID1915443"",17,Completed,2024-08-09,00:00:16,"Kashmere Gate",Karkarduma,47.30,749.00,UPI,4,8.00,25.30
137,""CNR7228014"",""CID3515824"",1,"No Driver Found",2024-08-15,00:00:22,Madipur,Saket,0.00,0.00,"Não informado",0,8.49,29.14
138,""CNR1435581"",""CID1856576"",6,Completed,2024-10-02,00:00:09,"Shastri Park","Barakhamba Road",14.59,244.00,UPI,5,11.50,37.40
139,""CNR5373942"",""CID7792143"",8,"No Driver Found",2024-05-12,00:00:01,Nawada,Jahangirpuri,0.00,0.00,"Não informado",0,8.49,29.14
140,""CNR3434703"",""CID3333217"",8,Incomplete,2024-02-20,00:00:18,Shahdara,Bhiwadi,8.68,351.00,UPI,0,2.60,22.80
141,""CNR6987620"",""CID3121337"",3,Completed,2024-05-26,00:00:20,"Tilak Nagar",Azadpur,34.14,585.00,"Debit Card",4,5.40,28.90
142,""CNR4132145"",""CID5140786"",6,Completed,2024-12-24,00:00:10,"DLF Phase 3","Udyog Vihar Phase 4",31.79,554.00,Cash,5,6.40,44.70
143,""CNR8207805"",""CID6685791"",5,Completed,2024-06-07,00:00:17,"Laxmi Nagar","Sohna Road",25.01,803.00,"Credit Card",5,10.80,28.50
144,""CNR1438443"",""CID5468663"",7,Completed,2024-04-28,00:00:19,"Huda City Centre",Akshardham,17.56,388.00,UPI,5,9.40,24.80
145,""CNR6129081"",""CID2998238"",13,"Cancelled by Customer",2024-01-26,00:00:18,"Shastri Nagar","Shivaji Park",0.00,0.00,"Não informado",0,7.00,29.14
146,""CNR1361929"",""CID9052724"",23,Completed,2024-01-18,00:00:23,"Uttam Nagar","Greater Kailash",48.96,192.00,UPI,5,11.20,38.50
147,""CNR2687237"",""CID4887972"",7,Completed,2024-04-15,00:00:19,Mehrauli,Nawada,32.91,79.00,"Uber Wallet",4,9.00,39.10
148,""CNR7486337"",""CID8581638"",15,"No Driver Found",2024-12-19,00:00:20,"Mansarovar Park",Manesar,0.00,0.00,"Não informado",0,8.49,29.14
149,""CNR4269906"",""CID9683944"",5,Completed,2024-01-22,00:00:18,"Lajpat Nagar",Okhla,45.70,242.00,UPI,5,2.40,26.60
150,""CNR1224347"",""CID5493342"",2,"Cancelled by Customer",2024-08-08,00:00:21,"Patel Chowk","Nirman Vihar",0.00,0.00,"Não informado",0,13.40,29.14
151,""CNR1401386"",""CID2154950"",7,Completed,2024-05-21,00:00:20,"Botanical Garden",Azadpur,38.32,323.00,"Uber Wallet",4,5.40,32.60
152,""CNR2013487"",""CID4175153"",8,"Cancelled by Driver",2024-08-17,00:00:12,Bahadurgarh,"Pragati Maidan",0.00,0.00,"Não informado",0,7.70,29.14
153,""CNR7409512"",""CID5474366"",6,Completed,2024-06-02,00:00:21,"Karol Bagh","Palam Vihar",9.10,799.00,UPI,5,5.40,24.40
154,""CNR7658099"",""CID8951576"",1,"Cancelled by Customer",2024-03-11,00:00:22,Azadpur,"Raj Nagar Extension",0.00,0.00,"Não informado",0,19.10,29.14
155,""CNR1980045"",""CID9418411"",16,Completed,2024-11-20,00:00:16,"Ramesh Nagar","Greater Kailash",49.26,134.00,UPI,5,2.90,39.30
156,""CNR8584951"",""CID2820460"",15,"Cancelled by Driver",2024-10-23,00:00:10,"Malviya Nagar","Lajpat Nagar",0.00,0.00,"Não informado",0,3.90,29.14
157,""CNR2607733"",""CID5637874"",13,"Cancelled by Customer",2024-08-10,00:00:18,"Dwarka Sector 21","Malviya Nagar",0.00,0.00,"Não informado",0,18.50,29.14
158,""CNR6693847"",""CID6386344"",13,"Cancelled by Customer",2024-05-06,00:00:19,"Noida Film City","Keshav Puram",0.00,0.00,"Não informado",0,16.10,29.14
159,""CNR9749627"",""CID3065827"",10,Completed,2024-11-13,00:00:06,"Nirman Vihar","Satguru Ram Singh Marg",8.21,113.00,UPI,5,13.70,40.70
160,""CNR1706908"",""CID1807270"",15,Incomplete,2024-09-16,00:00:16,"Pragati Maidan","Faridabad Sector 15",16.09,84.00,"Uber Wallet",0,2.30,19.60
161,""CNR6236514"",""CID3761463"",6,Completed,2024-05-16,00:00:12,Tughlakabad,"Ramesh Nagar",11.94,81.00,UPI,5,12.10,32.50
162,""CNR9048385"",""CID5242973"",22,Completed,2024-02-15,00:00:19,"India Gate","Kashmere Gate",8.23,992.00,UPI,5,4.50,43.10
163,""CNR1903168"",""CID1051794"",16,Completed,2024-08-01,00:00:06,"Maidan Garhi","Samaypur Badli",49.50,513.00,UPI,5,3.60,26.50
164,""CNR2922907"",""CID4507250"",16,Completed,2024-05-02,00:00:19,"Barakhamba Road","Noida Film City",37.37,635.00,UPI,5,5.80,38.90
165,""CNR7621341"",""CID1429306"",11,Completed,2024-08-27,00:00:06,"Kashmere Gate","Jor Bagh",35.38,242.00,UPI,5,6.90,17.00
166,""CNR5803828"",""CID1039074"",5,Completed,2024-10-20,00:00:12,"Barakhamba Road","DLF City Court",34.81,1114.00,"Uber Wallet",4,12.50,20.60
167,""CNR4868713"",""CID2089650"",5,Completed,2024-06-25,00:00:23,"Gurgaon Sector 56","Cyber Hub",20.92,372.00,UPI,5,9.00,37.70
168,""CNR2575334"",""CID7330180"",13,"Cancelled by Driver",2024-02-13,00:00:06,"Ghitorni Village","Faridabad Sector 15",0.00,0.00,"Não informado",0,6.20,29.14
169,""CNR3841045"",""CID1210899"",7,Completed,2024-07-10,00:00:16,Ashram,"Yamuna Bank",23.39,387.00,"Uber Wallet",5,3.50,40.20
170,""CNR5265040"",""CID3076700"",22,Completed,2024-06-10,00:00:07,"Gurgaon Sector 29","Mansarovar Park",30.82,767.00,UPI,5,7.10,31.60
171,""CNR8112878"",""CID4809063"",3,Completed,2024-07-11,00:00:14,Shahdara,Paharganj,21.31,447.00,UPI,4,7.10,24.40
