cancellation_id,ride_pk,cancelled_by_customer,reason_customer,cancelled_by_driver,reason_driver
169,169,1,"Não aplicavel",1,"Não aplicavel"
170,170,1,"Não aplicavel",1,"Não aplicavel"
171,171,1,"Não aplicavel",1,"Não aplicavel"
172,172,1,"Não aplicavel",1,"Não aplicavel"
173,173,1,"Não aplicavel",1,"Personal & Car related issues"
174,174,1,"Não aplicavel",1,"Não aplicavel"
175,175,1,"Não aplicavel",1,"The customer was coughing/sick"
176,176,1,"Não aplicavel",1,"Não aplicavel"
177,177,1,"Não aplicavel",1,"Não aplicavel"
178,178,1,"Não aplicavel",1,"More than permitted people in there"
179,179,1,"Não aplicavel",1,"Não aplicavel"
180,180,1,"Não aplicavel",1,"The customer was coughing/sick"
181,181,1,"Não aplicavel",1,"Customer related issue"
182,182,1,"Não aplicavel",1,"Não aplicavel"
183,183,1,"Não aplicavel",1,"Customer related issue"
184,184,1,"Não aplicavel",1,"Não aplicavel"
185,185,1,"Não aplicavel",1,"More than permitted people in there"
186,186,1,"Não aplicavel",1,"Não aplicavel"
187,187,1,"Não aplicavel",1,"Não aplicavel"
188,188,1,"Não aplicavel",1,"The customer was coughing/sick"
189,189,1,"Não aplicavel",1,"Não aplicavel"
190,190,1,"Não aplicavel",1,"Não aplicavel"
191,191,1,"Não aplicavel",1,"Não aplicavel"
192,192,1,"Não aplicavel",1,"Não aplicavel"
193,193,1,"Não aplicavel",1,"Não aplicavel"
194,194,1,"Não aplicavel",1,"Não aplicavel"
195,195,1,"Não aplicavel",1,"Não aplicavel"
196,196,1,"Não aplicavel",1,"Não aplicavel"
197,197,1,"Não aplicavel",1,"Não aplicavel"
198,198,1,"Não aplicavel",1,"Não aplicavel"
199,199,1,"Não aplicavel",1,"Não aplicavel"
200,200,1,"Não aplicavel",1,"Personal & Car related issues"
201,201,1,"Não aplicavel",1,"More than permitted people in there"
202,202,1,"Não aplicavel",1,"Não aplicavel"
203,203,1,"Não aplicavel",1,"Não aplicavel"
204,204,1,"Não aplicavel",1,"Não aplicavel"
205,205,1,"Não aplicavel",1,"Não aplicavel"
206,206,1,"Não aplicavel",1,"Customer related issue"
207,207,1,"Não aplicavel",1,"Não aplicavel"
208,208,1,"Não aplicavel",1,"Não aplicavel"
209,209,1,"Não aplicavel",1,"More than permitted people in there"
210,210,1,"Não aplicavel",1,"Não aplicavel"
211,211,1,"Não aplicavel",1,"Não aplicavel"
212,212,1,"Não aplicavel",1,"Não aplicavel"
213,213,1,"Não aplicavel",1,"Não aplicavel"
214,214,1,"Não aplicavel",1,"Não aplicavel"
215,215,1,"Driver is not moving towards pickup location",1,"Não aplicavel"
216,216,1,"Não aplicavel",1,"Não aplicavel"
217,217,1,"Não aplicavel",1,"Não aplicavel"
218,218,1,"Não aplicavel",1,"Não aplicavel"
219,219,1,"Não aplicavel",1,"Não aplicavel"
220,220,1,"Não aplicavel",1,"Não aplicavel"
221,221,1,"Não aplicavel",1,"Não aplicavel"
222,222,1,"Não aplicavel",1,"Não aplicavel"
223,223,1,"Não aplicavel",1,"Não aplicavel"
224,224,1,"Não aplicavel",1,"Não aplicavel"
225,225,1,"Não aplicavel",1,"Customer related issue"
226,226,1,"Não aplicavel",1,"Não aplicavel"
227,227,1,"Não aplicavel",1,"Não aplicavel"
228,228,1,"Não aplicavel",1,"Não aplicavel"
229,229,1,"Não aplicavel",1,"Não aplicavel"
230,230,1,"Não aplicavel",1,"Não aplicavel"
231,231,1,"Não aplicavel",1,"Não aplicavel"
232,232,1,"Não aplicavel",1,"Não aplicavel"
233,233,1,"Não aplicavel",1,"Não aplicavel"
234,234,1,"Wrong Address",1,"Não aplicavel"
235,235,1,"Não aplicavel",1,"Não aplicavel"
236,236,1,"Não aplicavel",1,"Não aplicavel"
237,237,1,"Não aplicavel",1,"Não aplicavel"
238,238,1,"Não aplicavel",1,"Não aplicavel"
239,239,1,"Change of plans",1,"Não aplicavel"
240,240,1,"Não aplicavel",1,"Não aplicavel"
241,241,1,"Não aplicavel",1,"Não aplicavel"
242,242,1,"Não aplicavel",1,"Não aplicavel"
243,243,1,"Não aplicavel",1,"Não aplicavel"
244,244,1,"Não aplicavel",1,"Personal & Car related issues"
245,245,1,"Não aplicavel",1,"Não aplicavel"
246,246,1,"Driver asked to cancel",1,"Não aplicavel"
247,247,1,"Não aplicavel",1,"Não aplicavel"
248,248,1,"Não aplicavel",1,"Não aplicavel"
249,249,1,"Não aplicavel",1,"Não aplicavel"
250,250,1,"Não aplicavel",1,"Não aplicavel"
251,251,1,"Não aplicavel",1,"Não aplicavel"
252,252,1,"Não aplicavel",1,"Customer related issue"
253,253,1,"Não aplicavel",1,"Não aplicavel"
254,254,1,"Não aplicavel",1,"Não aplicavel"
255,255,1,"AC is not working",1,"Não aplicavel"
256,256,1,"Não aplicavel",1,"Não aplicavel"
257,257,1,"Não aplicavel",1,"Não aplicavel"
258,258,1,"Não aplicavel",1,"Não aplicavel"
259,259,1,"Não aplicavel",1,"Não aplicavel"
260,260,1,"Não aplicavel",1,"Não aplicavel"
261,261,1,"Não aplicavel",1,"Personal & Car related issues"
262,262,1,"Não aplicavel",1,"Não aplicavel"
263,263,1,"Não aplicavel",1,"Não aplicavel"
264,264,1,"Não aplicavel",1,"Não aplicavel"
265,265,1,"Não aplicavel",1,"Não aplicavel"
266,266,1,"Não aplicavel",1,"Não aplicavel"
267,267,1,"Não aplicavel",1,"Não aplicavel"
268,268,1,"Não aplicavel",1,"Personal & Car related issues"
269,269,1,"Não aplicavel",1,"The customer was coughing/sick"
270,270,1,"Não aplicavel",1,"Não aplicavel"
271,271,1,"Não aplicavel",1,"Não aplicavel"
272,272,1,"Não aplicavel",1,"Não aplicavel"
273,273,1,"Não aplicavel",1,"Não aplicavel"
274,274,1,"Não aplicavel",1,"Não aplicavel"
275,275,1,"Não aplicavel",1,"More than permitted people in there"
276,276,1,"Não aplicavel",1,"Não aplicavel"
277,277,1,"Não aplicavel",1,"Customer related issue"
278,278,1,"Não aplicavel",1,"Não aplicavel"
279,279,1,"Não aplicavel",1,"Não aplicavel"
280,280,1,"Não aplicavel",1,"Não aplicavel"
281,281,1,"Não aplicavel",1,"Não aplicavel"
282,282,1,"Não aplicavel",1,"Não aplicavel"
283,283,1,"Não aplicavel",1,"Não aplicavel"
284,284,1,"Não aplicavel",1,"Não aplicavel"
285,285,1,"Não aplicavel",1,"More than permitted people in there"
286,286,1,"Driver asked to cancel",1,"Não aplicavel"
287,287,1,"Não aplicavel",1,"Não aplicavel"
288,288,1,"Não aplicavel",1,"Não aplicavel"
289,289,1,"Não aplicavel",1,"Não aplicavel"
290,290,1,"Não aplicavel",1,"Customer related issue"
291,291,1,"Não aplicavel",1,"Não aplicavel"
292,292,1,"Não aplicavel",1,"Não aplicavel"
293,293,1,"Não aplicavel",1,"Não aplicavel"
294,294,1,"Não aplicavel",1,"Não aplicavel"
295,295,1,"Não aplicavel",1,"Não aplicavel"
296,296,1,"Não aplicavel",1,"Não aplicavel"
297,297,1,"Não aplicavel",1,"Não aplicavel"
298,298,1,"Não aplicavel",1,"Não aplicavel"
299,299,1,"Não aplicavel",1,"Não aplicavel"
300,300,1,"Não aplicavel",1,"Não aplicavel"
301,301,1,"Não aplicavel",1,"Não aplicavel"
302,302,1,"Não aplicavel",1,"Não aplicavel"
303,303,1,"Não aplicavel",1,"The customer was coughing/sick"
304,304,1,"Não aplicavel",1,"Não aplicavel"
305,305,1,"Não aplicavel",1,"Não aplicavel"
306,306,1,"Driver asked to cancel",1,"Não aplicavel"
307,307,1,"Não aplicavel",1,"Não aplicavel"
308,308,1,"Driver asked to cancel",1,"Não aplicavel"
309,309,1,"Não aplicavel",1,"Customer related issue"
310,310,1,"Não aplicavel",1,"Não aplicavel"
311,311,1,"Não aplicavel",1,"Não aplicavel"
312,312,1,"Não aplicavel",1,"Não aplicavel"
313,313,1,"Não aplicavel",1,"Personal & Car related issues"
314,314,1,"Não aplicavel",1,"Não aplicavel"
315,315,1,"Não aplicavel",1,"Customer related issue"
316,316,1,"Não aplicavel",1,"Não aplicavel"
317,317,1,"Não aplicavel",1,"Não aplicavel"
318,318,1,"Não aplicavel",1,"Não aplicavel"
319,319,1,"Não aplicavel",1,"Não aplicavel"
320,320,1,"Não aplicavel",1,"Não aplicavel"
321,321,1,"Não aplicavel",1,"Customer related issue"
322,322,1,"Não aplicavel",1,"The customer was coughing/sick"
323,323,1,"Não aplicavel",1,"Não aplicavel"
324,324,1,"Não aplicavel",1,"Não aplicavel"
325,325,1,"Não aplicavel",1,"Não aplicavel"
326,326,1,"Não aplicavel",1,"Não aplicavel"
327,327,1,"Não aplicavel",1,"Não aplicavel"
328,328,1,"Não aplicavel",1,"Não aplicavel"
329,329,1,"Não aplicavel",1,"Não aplicavel"
330,330,1,"Não aplicavel",1,"More than permitted people in there"
331,331,1,"Não aplicavel",1,"Não aplicavel"
332,332,1,"Não aplicavel",1,"Não aplicavel"
333,333,1,"Não aplicavel",1,"Não aplicavel"
334,334,1,"Não aplicavel",1,"Não aplicavel"
335,335,1,"Não aplicavel",1,"Não aplicavel"
336,336,1,"Não aplicavel",1,"Não aplicavel"
337,337,1,"Não aplicavel",1,"Não aplicavel"
338,338,1,"Não aplicavel",1,"Customer related issue"
339,339,1,"Não aplicavel",1,"Não aplicavel"
340,340,1,"Não aplicavel",1,"Não aplicavel"
341,341,1,"Não aplicavel",1,"Não aplicavel"
342,342,1,"Driver asked to cancel",1,"Não aplicavel"
343,343,1,"Não aplicavel",1,"More than permitted people in there"
344,344,1,"Não aplicavel",1,"Não aplicavel"
345,345,1,"Não aplicavel",1,"Não aplicavel"
346,346,1,"Não aplicavel",1,"Customer related issue"
347,347,1,"Não aplicavel",1,"Não aplicavel"
348,348,1,"Não aplicavel",1,"Não aplicavel"
349,349,1,"Não aplicavel",1,"Não aplicavel"
350,350,1,"Não aplicavel",1,"Não aplicavel"
351,351,1,"Não aplicavel",1,"Não aplicavel"
352,352,1,"Não aplicavel",1,"Não aplicavel"
353,353,1,"Não aplicavel",1,"Não aplicavel"
354,354,1,"Não aplicavel",1,"Não aplicavel"
355,355,1,"Não aplicavel",1,"Personal & Car related issues"
356,356,1,"Não aplicavel",1,"Não aplicavel"
357,357,1,"Não aplicavel",1,"Não aplicavel"
358,358,1,"Não aplicavel",1,"Não aplicavel"
359,359,1,"Não aplicavel",1,"Não aplicavel"
360,360,1,"Driver asked to cancel",1,"Não aplicavel"
361,361,1,"Não aplicavel",1,"Não aplicavel"
362,362,1,"Não aplicavel",1,"Customer related issue"
363,363,1,"Não aplicavel",1,"Personal & Car related issues"
364,364,1,"Não aplicavel",1,"Não aplicavel"
365,365,1,"Não aplicavel",1,"Não aplicavel"
366,366,1,"Não aplicavel",1,"Não aplicavel"
367,367,1,"Não aplicavel",1,"Não aplicavel"
368,368,1,"Não aplicavel",1,"Não aplicavel"
369,369,1,"Não aplicavel",1,"Não aplicavel"
370,370,1,"Não aplicavel",1,"The customer was coughing/sick"
371,371,1,"Não aplicavel",1,"Não aplicavel"
372,372,1,"Não aplicavel",1,"Não aplicavel"
373,373,1,"Não aplicavel",1,"Não aplicavel"
374,374,1,"Não aplicavel",1,"More than permitted people in there"
375,375,1,"Não aplicavel",1,"Customer related issue"
376,376,1,"Não aplicavel",1,"Não aplicavel"
377,377,1,"Não aplicavel",1,"Não aplicavel"
378,378,1,"Não aplicavel",1,"Não aplicavel"
379,379,1,"Não aplicavel",1,"Não aplicavel"
380,380,1,"Não aplicavel",1,"Não aplicavel"
381,381,1,"Não aplicavel",1,"Não aplicavel"
382,382,1,"Não aplicavel",1,"Não aplicavel"
383,383,1,"AC is not working",1,"Não aplicavel"
384,384,1,"Não aplicavel",1,"Não aplicavel"
385,385,1,"Não aplicavel",1,"Não aplicavel"
386,386,1,"Não aplicavel",1,"More than permitted people in there"
387,387,1,"Change of plans",1,"Não aplicavel"
388,388,1,"Não aplicavel",1,"Não aplicavel"
389,389,1,"Não aplicavel",1,"Não aplicavel"
390,390,1,"Não aplicavel",1,"The customer was coughing/sick"
391,391,1,"Não aplicavel",1,"Não aplicavel"
392,392,1,"Não aplicavel",1,"More than permitted people in there"
393,393,1,"Não aplicavel",1,"Não aplicavel"
394,394,1,"Change of plans",1,"Não aplicavel"
395,395,1,"Não aplicavel",1,"Não aplicavel"
396,396,1,"Não aplicavel",1,"Não aplicavel"
397,397,1,"Não aplicavel",1,"Não aplicavel"
398,398,1,"Não aplicavel",1,"Não aplicavel"
399,399,1,"Wrong Address",1,"Não aplicavel"
400,400,1,"Não aplicavel",1,"Customer related issue"
401,401,1,"Não aplicavel",1,"Customer related issue"
402,402,1,"Não aplicavel",1,"Não aplicavel"
403,403,1,"Não aplicavel",1,"Não aplicavel"
404,404,1,"Não aplicavel",1,"Não aplicavel"
405,405,1,"Não aplicavel",1,"Não aplicavel"
406,406,1,"Não aplicavel",1,"Não aplicavel"
407,407,1,"Não aplicavel",1,"Não aplicavel"
408,408,1,"Driver asked to cancel",1,"Não aplicavel"
409,409,1,"Não aplicavel",1,"Não aplicavel"
410,410,1,"Não aplicavel",1,"Não aplicavel"
411,411,1,"Não aplicavel",1,"Não aplicavel"
412,412,1,"Não aplicavel",1,"Não aplicavel"
413,413,1,"Não aplicavel",1,"The customer was coughing/sick"
414,414,1,"Não aplicavel",1,"Não aplicavel"
415,415,1,"Não aplicavel",1,"Não aplicavel"
416,416,1,"Não aplicavel",1,"Customer related issue"
417,417,1,"Não aplicavel",1,"Não aplicavel"
418,418,1,"Não aplicavel",1,"Não aplicavel"
419,419,1,"Não aplicavel",1,"Não aplicavel"
420,420,1,"Não aplicavel",1,"Personal & Car related issues"
421,421,1,"Não aplicavel",1,"Não aplicavel"
422,422,1,"Não aplicavel",1,"Não aplicavel"
423,423,1,"Não aplicavel",1,"Não aplicavel"
424,424,1,"Não aplicavel",1,"Não aplicavel"
425,425,1,"Não aplicavel",1,"Não aplicavel"
426,426,1,"Não aplicavel",1,"Não aplicavel"
427,427,1,"Não aplicavel",1,"Não aplicavel"
428,428,1,"Não aplicavel",1,"The customer was coughing/sick"
429,429,1,"Não aplicavel",1,"Não aplicavel"
430,430,1,"Não aplicavel",1,"Não aplicavel"
431,431,1,"Não aplicavel",1,"The customer was coughing/sick"
432,432,1,"Não aplicavel",1,"Não aplicavel"
433,433,1,"Não aplicavel",1,"Não aplicavel"
434,434,1,"Não aplicavel",1,"Não aplicavel"
435,435,1,"Não aplicavel",1,"Não aplicavel"
436,436,1,"Não aplicavel",1,"Personal & Car related issues"
437,437,1,"Não aplicavel",1,"Não aplicavel"
438,438,1,"Não aplicavel",1,"Customer related issue"
439,439,1,"Não aplicavel",1,"Não aplicavel"
440,440,1,"Não aplicavel",1,"Personal & Car related issues"
441,441,1,"Não aplicavel",1,"Não aplicavel"
442,442,1,"Não aplicavel",1,"Não aplicavel"
443,443,1,"Não aplicavel",1,"Não aplicavel"
444,444,1,"Não aplicavel",1,"Não aplicavel"
445,445,1,"Não aplicavel",1,"Não aplicavel"
446,446,1,"Não aplicavel",1,"Não aplicavel"
447,447,1,"Não aplicavel",1,"More than permitted people in there"
448,448,1,"Wrong Address",1,"Não aplicavel"
449,449,1,"Não aplicavel",1,"Não aplicavel"
450,450,1,"Não aplicavel",1,"Não aplicavel"
451,451,1,"Não aplicavel",1,"Customer related issue"
452,452,1,"Não aplicavel",1,"Não aplicavel"
453,453,1,"Não aplicavel",1,"Não aplicavel"
454,454,1,"Não aplicavel",1,"Não aplicavel"
455,455,1,"Não aplicavel",1,"Não aplicavel"
456,456,1,"Não aplicavel",1,"Não aplicavel"
457,457,1,"Não aplicavel",1,"Não aplicavel"
458,458,1,"Não aplicavel",1,"Não aplicavel"
459,459,1,"Não aplicavel",1,"Não aplicavel"
460,460,1,"Não aplicavel",1,"Não aplicavel"
461,461,1,"Não aplicavel",1,"Não aplicavel"
462,462,1,"Não aplicavel",1,"Não aplicavel"
463,463,1,"Não aplicavel",1,"Não aplicavel"
464,464,1,"Não aplicavel",1,"Não aplicavel"
465,465,1,"Não aplicavel",1,"Customer related issue"
466,466,1,"Não aplicavel",1,"Não aplicavel"
467,467,1,"Não aplicavel",1,"Não aplicavel"
468,468,1,"Não aplicavel",1,"Não aplicavel"
469,469,1,"Não aplicavel",1,"Customer related issue"
470,470,1,"Wrong Address",1,"Não aplicavel"
471,471,1,"Não aplicavel",1,"Não aplicavel"
472,472,1,"Não aplicavel",1,"Não aplicavel"
473,473,1,"Não aplicavel",1,"Não aplicavel"
474,474,1,"Não aplicavel",1,"Não aplicavel"
475,475,1,"Não aplicavel",1,"Não aplicavel"
476,476,1,"Não aplicavel",1,"Não aplicavel"
477,477,1,"Não aplicavel",1,"Não aplicavel"
478,478,1,"Não aplicavel",1,"Personal & Car related issues"
479,479,1,"Não aplicavel",1,"Não aplicavel"
480,480,1,"Não aplicavel",1,"The customer was coughing/sick"
481,481,1,"Não aplicavel",1,"The customer was coughing/sick"
482,482,1,"Não aplicavel",1,"Não aplicavel"
483,483,1,"Não aplicavel",1,"More than permitted people in there"
484,484,1,"Não aplicavel",1,"Não aplicavel"
485,485,1,"Não aplicavel",1,"Não aplicavel"
486,486,1,"Não aplicavel",1,"Não aplicavel"
487,487,1,"Não aplicavel",1,"Não aplicavel"
488,488,1,"Não aplicavel",1,"Personal & Car related issues"
489,489,1,"Não aplicavel",1,"Personal & Car related issues"
490,490,1,"Não aplicavel",1,"Não aplicavel"
491,491,1,"Não aplicavel",1,"Não aplicavel"
492,492,1,"Não aplicavel",1,"More than permitted people in there"
493,493,1,"Driver asked to cancel",1,"Não aplicavel"
494,494,1,"Não aplicavel",1,"Não aplicavel"
495,495,1,"Não aplicavel",1,"Customer related issue"
496,496,1,"Não aplicavel",1,"Não aplicavel"
497,497,1,"Não aplicavel",1,"Não aplicavel"
498,498,1,"Não aplicavel",1,"Não aplicavel"
499,499,1,"Não aplicavel",1,"Não aplicavel"
500,500,1,"Não aplicavel",1,"Não aplicavel"
501,501,1,"Não aplicavel",1,"Não aplicavel"
502,502,1,"Change of plans",1,"Não aplicavel"
503,503,1,"Não aplicavel",1,"Não aplicavel"
504,504,1,"Não aplicavel",1,"Não aplicavel"
505,505,1,"Não aplicavel",1,"Não aplicavel"
506,506,1,"Não aplicavel",1,"Não aplicavel"
507,507,1,"Não aplicavel",1,"Não aplicavel"
508,508,1,"Não aplicavel",1,"Personal & Car related issues"
509,509,1,"Não aplicavel",1,"Não aplicavel"
510,510,1,"Não aplicavel",1,"Não aplicavel"
